epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6923,1.85209,2.90886,1.49898,0.42978,0.37835,0.26696,0.11761,1.91867,1.93858,1.31698,0.000254249,0.000254249,0.000254249
2,20.2659,1.57935,1.61945,1.30612,0.59594,0.58419,0.64929,0.34276,1.82768,1.3452,1.32718,0.000500473,0.000500473,0.000500473
3,28.6513,1.49407,1.35645,1.26178,0.69538,0.71624,0.70565,0.36401,1.7398,1.17828,1.2647,0.000736546,0.000736546,0.000736546
4,36.9815,1.4557,1.26863,1.23955,0.65321,0.80625,0.81199,0.46401,1.56127,1.089,1.19629,0.000723321,0.000723321,0.000723321
5,45.1424,1.40397,1.15795,1.21145,0.68456,0.72558,0.7486,0.43073,1.58542,1.19609,1.24383,0.000708095,0.000708095,0.000708095
6,53.2406,1.37117,1.1027,1.19481,0.78239,0.73317,0.78892,0.46038,1.53019,1.04451,1.17761,0.000692869,0.000692869,0.000692869
7,61.4189,1.34387,1.04261,1.17184,0.77818,0.77426,0.80874,0.4949,1.45176,1.03021,1.18669,0.000677643,0.000677643,0.000677643
8,69.6311,1.32041,0.99625,1.15489,0.74207,0.80801,0.84043,0.51816,1.3601,1.00315,1.13397,0.000662417,0.000662417,0.000662417
9,77.8381,1.30223,0.96744,1.14891,0.83193,0.79463,0.84229,0.44651,1.60524,1.02475,1.18616,0.00064719,0.00064719,0.00064719
10,86.1089,1.28088,0.9433,1.14204,0.81203,0.78554,0.8212,0.50416,1.40881,0.93516,1.12632,0.000631964,0.000631964,0.000631964
11,94.3093,1.27199,0.91256,1.14122,0.83059,0.79506,0.82737,0.53328,1.27152,0.92575,1.1072,0.000616738,0.000616738,0.000616738
12,102.43,1.24712,0.87632,1.12301,0.83942,0.80218,0.83289,0.48907,1.53129,0.97083,1.17756,0.000601512,0.000601512,0.000601512
13,110.591,1.23104,0.86952,1.11559,0.75985,0.82412,0.7985,0.48632,1.40211,0.96527,1.13957,0.000586286,0.000586286,0.000586286
14,118.675,1.20471,0.85075,1.10727,0.79148,0.84219,0.82359,0.50074,1.43343,0.89758,1.14246,0.000571059,0.000571059,0.000571059
15,126.808,1.19231,0.82006,1.09563,0.80198,0.83237,0.85209,0.52961,1.42258,0.87276,1.14763,0.000555833,0.000555833,0.000555833
16,135.009,1.1869,0.81238,1.09592,0.84901,0.80612,0.83908,0.50972,1.47562,0.93962,1.15481,0.000540607,0.000540607,0.000540607
17,143.517,1.15992,0.78697,1.08724,0.8275,0.8264,0.82574,0.50359,1.44649,0.9164,1.14424,0.000525381,0.000525381,0.000525381
18,151.898,1.15588,0.78164,1.0812,0.84558,0.80794,0.85051,0.5025,1.41888,0.91076,1.14459,0.000510155,0.000510155,0.000510155
19,160.482,1.16524,0.78103,1.07999,0.85815,0.8111,0.82262,0.47536,1.48418,0.90943,1.14772,0.000494928,0.000494928,0.000494928
20,169.001,1.167,0.76498,1.0744,0.8628,0.78991,0.84559,0.54544,1.2543,0.85372,1.07612,0.000479702,0.000479702,0.000479702
21,177.214,1.14016,0.75568,1.07166,0.84425,0.82744,0.83655,0.52687,1.31506,0.84637,1.10928,0.000464476,0.000464476,0.000464476
22,185.321,1.10921,0.73034,1.05936,0.83672,0.81107,0.83735,0.52032,1.44593,0.89533,1.1506,0.00044925,0.00044925,0.00044925
23,193.669,1.09872,0.73196,1.05518,0.83875,0.84035,0.85903,0.54343,1.37033,0.82427,1.12088,0.000434024,0.000434024,0.000434024
24,202.047,1.09989,0.71753,1.05861,0.85027,0.81602,0.85935,0.55758,1.24475,0.84446,1.08169,0.000418797,0.000418797,0.000418797
25,210.473,1.10415,0.71432,1.05767,0.86056,0.84811,0.86597,0.55205,1.33567,0.81558,1.11335,0.000403571,0.000403571,0.000403571
26,219.023,1.07315,0.68817,1.04399,0.83147,0.84528,0.8528,0.5378,1.42814,0.85798,1.14375,0.000388345,0.000388345,0.000388345
27,227.5,1.0669,0.68949,1.04164,0.83281,0.83377,0.85444,0.53994,1.36041,0.83526,1.12846,0.000373119,0.000373119,0.000373119
28,235.969,1.06978,0.68121,1.03982,0.8168,0.85289,0.84776,0.53788,1.28049,0.83191,1.10542,0.000357893,0.000357893,0.000357893
29,244.447,1.06943,0.68215,1.0369,0.86422,0.81272,0.84892,0.53179,1.3446,0.82636,1.12669,0.000342666,0.000342666,0.000342666
30,253.851,1.05629,0.66581,1.0319,0.84545,0.8423,0.85982,0.52418,1.34954,0.83373,1.11465,0.00032744,0.00032744,0.00032744
31,262.355,1.02692,0.65564,1.02245,0.85023,0.82464,0.83877,0.53413,1.33089,0.82847,1.11138,0.000312214,0.000312214,0.000312214
32,270.87,1.02411,0.64998,1.01635,0.84046,0.81924,0.83672,0.52186,1.37415,0.83143,1.12751,0.000296988,0.000296988,0.000296988
33,279.387,1.0209,0.6497,1.02288,0.81053,0.83426,0.84895,0.54876,1.31772,0.81856,1.10739,0.000281762,0.000281762,0.000281762
34,287.931,1.01687,0.63765,1.0156,0.84966,0.8169,0.85566,0.55855,1.31239,0.79658,1.115,0.000266535,0.000266535,0.000266535
35,296.492,1.01915,0.63665,1.01492,0.86354,0.81193,0.85088,0.5406,1.32176,0.83149,1.11094,0.000251309,0.000251309,0.000251309
36,305.07,1.00055,0.63309,1.01012,0.82542,0.8338,0.84201,0.54374,1.30632,0.81418,1.12277,0.000236083,0.000236083,0.000236083
37,313.91,0.99777,0.62683,1.01639,0.84717,0.80634,0.84218,0.54547,1.28571,0.80168,1.09963,0.000220857,0.000220857,0.000220857
38,322.688,0.99126,0.61686,1.00448,0.85726,0.8346,0.85847,0.53928,1.26605,0.80954,1.10643,0.000205631,0.000205631,0.000205631
39,331.399,0.9798,0.61197,1.0052,0.84649,0.82508,0.85573,0.54476,1.37254,0.81842,1.11719,0.000190404,0.000190404,0.000190404
40,340.054,0.96796,0.60419,0.99794,0.86872,0.8264,0.86072,0.5694,1.26437,0.78171,1.10169,0.000175178,0.000175178,0.000175178
41,365.234,0.91128,0.54176,0.97411,0.84455,0.81114,0.84128,0.56062,1.25785,0.81528,1.10344,0.000159952,0.000159952,0.000159952
42,373.835,0.8811,0.51815,0.96385,0.86975,0.81989,0.85634,0.55886,1.27152,0.78121,1.09492,0.000144726,0.000144726,0.000144726
43,382.278,0.86704,0.51156,0.9554,0.83098,0.83785,0.8524,0.54647,1.28107,0.79626,1.10616,0.0001295,0.0001295,0.0001295
44,390.7,0.85541,0.50483,0.95657,0.84648,0.8239,0.84191,0.55303,1.27652,0.78138,1.10177,0.000114273,0.000114273,0.000114273
45,399.266,0.84826,0.50006,0.94899,0.83508,0.83234,0.85466,0.55152,1.29544,0.79236,1.09899,9.90472e-05,9.90472e-05,9.90472e-05
46,407.815,0.84336,0.49522,0.94615,0.87384,0.82306,0.85781,0.55555,1.34333,0.79638,1.11023,8.3821e-05,8.3821e-05,8.3821e-05
47,416.26,0.83552,0.4908,0.94043,0.82942,0.84759,0.84549,0.55924,1.2572,0.7894,1.09607,6.85948e-05,6.85948e-05,6.85948e-05
48,424.55,0.82481,0.48639,0.93964,0.82412,0.83573,0.84912,0.55775,1.288,0.78929,1.10311,5.33686e-05,5.33686e-05,5.33686e-05
